-1.22	0.1	1	24	0.2543497085571289
-1.2	0.11	3	23	0.2572808265686035
-7.87	0.04	5	22	0.2563140392303467
-7.84	0.0	7	21	0.25232505798339844
-7.88	0.41	9	19	0.2513275146484375
-7.89	1.7	11	18	0.2516927719116211
-7.8	2.21	12	16	0.2593064308166504
-7.77	2.34	14	15	0.25531649589538574
-7.01	3.44	16	13	0.25531721115112305
-6.81	3.89	17	11	0.2533535957336426
-6.71	4.14	19	10	0.25229310989379883
-5.51	5.36	20	8	0.254319429397583
-5.25	6.05	22	6	0.25332212448120117
-5.21	6.09	23	4	0.2513277530670166
-3.76	7.27	24	2	0.2593066692352295
-3.59	7.31	25	0	0.2563138008117676
-3.09	7.58	26	-1	0.25531673431396484
-1.84	8.44	27	-3	0.2533226013183594
-1.51	8.72	28	-5	0.265289306640625
-1.48	8.74	28	-7	0.25634288787841797
-0.14	9.59	29	-8	0.25332140922546387
0.55	9.62	29	-10	0.2672848701477051
0.6	9.61	29	-12	0.25728368759155273
1.64	9.9	29	-14	0.25531721115112305
2.18	9.93	29	-15	0.2563140392303467
2.5	9.94	29	-17	0.2672848701477051
3.68	9.98	29	-19	0.2553443908691406
4.31	9.99	29	-20	0.25728487968444824
4.39	10.0	28	-21	0.2527892589569092
5.56	10.03	28	-23	0.2534966468811035
5.6	10.03	27	-24	0.25531649589538574
5.99	10.04	26	-25	0.2563142776489258
7.06	10.04	25	-26	0.2513270378112793
7.49	10.03	24	-27	0.2526724338531494
7.55	10.03	23	-27	0.25437378883361816
8.22	9.75	22	-28	0.25335073471069336
8.24	9.67	20	-29	0.25229620933532715
8.27	9.49	19	-29	0.25531673431396484
8.93	8.66	17	-29	0.25232481956481934
8.96	8.65	16	-29	0.2543513774871826
8.99	8.35	14	-29	0.25329041481018066
9.02	7.36	12	-29	0.254319429397583
9.05	6.76	11	-29	0.2543513774871826
9.08	6.58	9	-29	0.25329065322875977
9.11	5.55	7	-28	0.2563142776489258
9.14	5.5	5	-28	0.2513275146484375
9.17	4.82	3	-27	0.25332188606262207
9.2	3.42	1	-26	0.2543199062347412
9.19	2.72	0	-25	0.2513275146484375
9.2	2.65	-1	-24	0.25332164764404297
9.17	1.52	-3	-23	0.25534629821777344
9.17	1.39	-5	-22	0.2523233890533447
9.11	1.14	-7	-21	0.2532947063446045
8.88	-0.06	-9	-19	0.2622983455657959
8.6	-0.87	-11	-18	0.2513272762298584
8.56	-0.91	-13	-16	0.26033711433410645
7.55	-2.3	-14	-15	0.2563142776489258
7.09	-3.09	-16	-13	0.25830912590026855
6.81	-3.14	-17	-11	0.25332212448120117
5.89	-4.22	-19	-10	0.25232481956481934
5.13	-4.51	-20	-8	0.254319429397583
5.1	-4.64	-22	-6	0.2523536682128906
4.06	-5.82	-23	-4	0.2562851905822754
3.36	-6.45	-24	-2	0.25583982467651367
3.33	-6.77	-25	0	0.25335216522216797
1.85	-7.57	-26	1	0.254321813583374
1.15	-7.97	-27	3	0.2572791576385498
1.1	-7.98	-28	5	0.2622983455657959
0.1	-8.64	-28	7	0.2513277530670166
-0.23	-9.02	-29	8	0.25235509872436523
-0.52	-9.03	-29	10	0.2567408084869385
-1.59	-9.4	-29	12	0.2532942295074463
-1.63	-9.42	-29	14	0.25335001945495605
-2.41	-9.44	-29	15	0.2513275146484375
-3.76	-9.48	-29	17	0.25332212448120117
-4.04	-9.48	-29	18	0.26130080223083496
-4.06	-9.49	-29	20	0.2592792510986328
-5.1	-9.51	-28	21	0.25531721115112305
-5.87	-9.54	-28	23	0.25434350967407227
-5.93	-9.54	-27	24	0.2592811584472656
-7.02	-9.59	-26	25	0.25830912590026855
-7.2	-9.59	-25	26	0.25334858894348145
-7.34	-9.59	-24	27	0.2533252239227295
-8.04	-9.42	-23	27	0.2513306140899658
-8.47	-9.16	-22	28	0.25531673431396484
-8.49	-9.14	-20	29	0.25335121154785156
-8.89	-8.49	-19	29	0.26027464866638184
-9.12	-8.38	-17	29	0.25148630142211914
-9.15	-7.74	-16	29	0.2562863826751709
-9.19	-6.79	-14	29	0.25531649589538574
-9.19	-6.47	-12	29	0.2573118209838867
-9.2	-6.46	-11	29	0.25334954261779785
-9.24	-5.02	-9	29	0.2513301372528076
-9.25	-4.68	-7	28	0.26127076148986816
-9.26	-4.66	-5	28	0.2533223628997803
-9.27	-3.19	-3	27	0.2513279914855957
-9.29	-2.5	-1	26	0.25335097312927246
-9.31	-2.47	0	25	0.25531554222106934
-9.31	-1.19	1	24	0.25728416442871094
-9.28	-1.04	3	23	0.2573113441467285
