0.01	0.33	5	-5	0.5006918907165527
0.36	0.99	11	-11	0.5066406726837158
2.44	3.3	17	-17	0.5089185237884521
4.64	5.64	22	-22	0.5006606578826904
6.6	7.48	28	-28	0.5116307735443115
8.62	9.59	33	-33	0.5106339454650879
10.44	11.49	38	-38	0.503652811050415
12.4	13.28	43	-43	0.5076704025268555
14.3	14.84	48	-48	0.5066430568695068
16.01	16.41	53	-53	0.5006604194641113
17.82	17.91	57	-57	0.5026276111602783
18.96	19.0	62	-62	0.508711576461792
20.43	20.42	66	-66	0.50966477394104
21.86	21.76	69	-69	0.5076124668121338
22.86	22.81	73	-73	0.5026552677154541
24.2	23.87	76	-76	0.5089330673217773
25.25	24.65	79	-79	0.50766921043396
26.43	25.47	81	-81	0.5096094608306885
27.08	25.96	84	-84	0.5076684951782227
28.05	26.49	86	-86	0.5106339454650879
28.73	26.98	87	-87	0.5106070041656494
29.11	27.17	88	-88	0.5106608867645264
29.36	27.34	89	-89	0.5046496391296387
29.57	27.58	89	-89	0.5107035636901855
29.63	27.6	89	-89	0.5086376667022705
29.67	27.63	89	-89	0.5066447257995605
29.7	27.64	88	-88	0.5116312503814697
29.71	27.64	87	-87	0.5021708011627197
29.73	27.64	86	-86	0.5036706924438477
29.74	27.64	84	-84	0.5101308822631836
29.73	27.64	82	-82	0.5086386203765869
29.66	27.58	80	-80	0.5046496391296387
29.47	27.31	77	-77	0.5006880760192871
29.13	26.82	74	-74	0.5036575794219971
28.75	26.15	71	-71	0.5006983280181885
28.11	25.39	67	-67	0.5046403408050537
26.88	24.36	63	-63	0.5028488636016846
25.31	23.19	59	-59	0.5135979652404785
23.83	22.09	55	-55	0.5066444873809814
22.19	21.01	50	-50	0.5010557174682617
19.97	19.34	45	-45	0.5056467056274414
18.12	17.8	40	-40	0.5087451934814453
16.52	16.39	35	-35	0.5046494007110596
14.6	14.77	30	-30	0.5066437721252441
12.68	12.83	24	-24	0.5116329193115234
10.52	10.54	19	-19	0.5006587505340576
8.5	8.61	13	-13	0.5106339454650879
6.33	6.38	7	-7	0.5117249488830566
3.96	3.86	1	-1	0.510634183883667
1.69	1.44	-3	3	0.5007033348083496
0.29	0.14	-9	9	0.5010173320770264
-1.79	-2.13	-15	15	0.5086338520050049
-3.87	-4.47	-20	20	0.5116584300994873
-5.74	-6.4	-26	26	0.5008985996246338
-7.78	-8.66	-31	31	0.5036520957946777
-9.44	-10.33	-36	36	0.502655029296875
-11.22	-12.2	-42	42	0.5066444873809814
-13.28	-14.2	-47	47	0.5116555690765381
-14.87	-15.65	-51	51	0.506619930267334
-16.34	-16.85	-56	56	0.5099375247955322
-18.0	-18.39	-60	60	0.5056471824645996
-19.23	-19.43	-64	64	0.5056462287902832
-20.55	-20.66	-68	68	0.5071671009063721
-21.88	-21.9	-72	72	0.5076408386230469
-23.28	-22.96	-75	75	0.5036249160766602
-24.09	-23.66	-78	78	0.5126562118530273
-25.01	-24.36	-81	81	0.5086112022399902
-25.96	-25.12	-83	83	0.5046498775482178
-26.6	-25.62	-85	85	0.5086398124694824
-27.08	-26.12	-87	87	0.5046489238739014
-27.79	-26.58	-88	88	0.5030875205993652
-28.12	-26.77	-89	89	0.5066449642181396
-28.28	-26.91	-89	89	0.5057535171508789
-28.31	-26.92	-89	89	0.503652811050415
-28.33	-26.93	-89	89	0.5110387802124023
-28.35	-26.94	-89	89	0.5066440105438232
-28.36	-26.93	-88	88	0.5066452026367188
-28.38	-26.95	-87	87	0.5121374130249023
-28.39	-26.95	-85	85	0.5058729648590088
-28.4	-26.95	-83	83	0.5066490173339844
-28.37	-26.92	-81	81	0.5086069107055664
-28.3	-26.84	-78	78	0.5056746006011963
-28.03	-26.28	-75	75	0.5046226978302002
-27.67	-25.4	-72	72	0.5146231651306152
-27.13	-24.61	-68	68	0.5126276016235352
-25.66	-23.66	-64	64	0.5086390972137451
-24.17	-22.32	-60	60	0.5026826858520508
-22.52	-20.99	-56	56	0.5089719295501709
-20.93	-19.77	-51	51	0.5026829242706299
-19.14	-18.4	-47	47	0.5069260597229004
-17.64	-17.27	-42	42	0.5117018222808838
-15.84	-15.71	-37	37	0.5029387474060059
-14.12	-14.19	-31	31	0.5136277675628662
-12.0	-12.22	-26	26	0.502655029296875
-10.19	-10.5	-20	20	0.5106053352355957
-8.05	-8.23	-15	15	0.5046489238739014
-6.26	-6.36	-9	9	0.5066721439361572
-4.2	-4.02	-3	3	0.5111439228057861
-2.19	-1.79	2	-2	0.50766921043396
-0.5	0.0	7	-7	0.509636402130127
