0.86	0.24	5	-89	0.5164997577667236
27.61	2.48	11	-89	0.5116307735443115
29.62	4.05	17	-88	0.5136253833770752
29.76	5.77	22	-87	0.5081779956817627
29.88	7.22	28	-85	0.5076117515563965
30.06	9.26	33	-83	0.5006604194641113
30.08	10.89	38	-81	0.5046505928039551
29.95	12.42	44	-78	0.5106327533721924
29.48	14.19	49	-75	0.5146234035491943
28.86	16.03	53	-72	0.5056471824645996
27.99	17.33	58	-68	0.5016577243804932
26.89	19.05	62	-64	0.5126280784606934
25.77	20.6	66	-60	0.5076415538787842
24.51	22.26	70	-56	0.516618013381958
23.11	24.03	73	-51	0.5066721439361572
21.4	25.21	76	-46	0.5060257911682129
19.52	26.6	79	-41	0.5076131820678711
17.61	27.92	82	-36	0.5076413154602051
15.66	29.19	84	-31	0.5056736469268799
13.86	29.89	86	-25	0.5156211853027344
11.38	30.73	87	-20	0.509636402130127
9.27	31.15	88	-14	0.508610725402832
6.72	31.52	89	-8	0.5151004791259766
3.94	31.83	89	-3	0.5106337070465088
1.66	31.81	89	2	0.5076408386230469
-0.56	31.77	89	8	0.5096089839935303
-3.33	31.65	88	14	0.5116584300994873
-5.95	31.5	87	19	0.5006608963012695
-8.01	31.37	86	25	0.5006599426269531
-10.29	31.15	84	30	0.509636640548706
-12.32	30.56	82	35	0.5016574859619141
-14.22	29.96	80	41	0.5136270523071289
-16.1	29.23	77	46	0.5066430568695068
-18.03	27.9	74	50	0.504650354385376
-19.4	26.59	70	55	0.5026273727416992
-21.0	25.15	67	59	0.508676290512085
-22.22	23.85	63	64	0.5086014270782471
-24.05	21.96	58	68	0.5157535076141357
-25.35	19.98	54	71	0.5071208477020264
-26.25	18.51	49	75	0.509636640548706
-27.45	16.69	44	78	0.5095367431640625
-28.32	14.75	39	80	0.5126247406005859
-28.78	13.02	34	83	0.5155925750732422
-29.42	11.45	28	85	0.5096638202667236
-29.74	9.44	23	86	0.5026552677154541
-29.86	7.62	18	88	0.5016298294067383
-30.3	5.94	12	89	0.5126285552978516
-30.43	4.05	6	89	0.5056774616241455
-30.34	2.03	0	89	0.500927209854126
-30.28	0.0	-4	89	0.5016577243804932
-30.26	-1.32	-10	89	0.5086109638214111
-30.25	-3.26	-16	88	0.501685380935669
-30.27	-5.09	-21	87	0.5126016139984131
-30.26	-6.74	-27	85	0.5118680000305176
-30.29	-8.56	-32	83	0.5116314888000488
-30.03	-10.08	-38	81	0.5126278400421143
-29.64	-11.93	-43	78	0.5027604103088379
-28.98	-13.53	-48	76	0.5059661865234375
-28.48	-15.04	-52	72	0.5105786323547363
-27.3	-16.43	-57	69	0.5160331726074219
-26.37	-18.1	-61	65	0.5148422718048096
-25.07	-19.51	-65	61	0.5086665153503418
-23.85	-20.89	-69	56	0.5087642669677734
-22.05	-22.5	-73	52	0.5101401805877686
-20.71	-24.03	-76	47	0.5006880760192871
-18.95	-25.09	-79	42	0.5136277675628662
-17.38	-26.21	-81	37	0.5120537281036377
-15.6	-27.06	-84	32	0.5016276836395264
-13.87	-28.26	-85	26	0.5126962661743164
-11.66	-28.73	-87	21	0.5010898113250732
-9.59	-29.52	-88	15	0.5076136589050293
-6.96	-29.93	-89	10	0.5036516189575195
-5.1	-30.18	-89	4	0.5012140274047852
-2.58	-30.19	-89	-1	0.510606050491333
-0.3	-30.15	-89	-7	0.5176148414611816
2.22	-30.09	-89	-12	0.5056741237640381
4.31	-30.01	-88	-18	0.5026283264160156
6.78	-29.87	-86	-24	0.5076413154602051
9.49	-29.62	-85	-29	0.5016582012176514
11.28	-29.35	-83	-34	0.5036799907684326
12.96	-28.69	-80	-40	0.509608268737793
15.4	-27.46	-77	-45	0.5026552677154541
17.06	-26.3	-74	-49	0.5026552677154541
18.38	-25.29	-71	-54	0.5116586685180664
20.1	-24.01	-67	-59	0.5052065849304199
21.87	-22.46	-64	-63	0.5016577243804932
23.15	-21.14	-59	-67	0.5166223049163818
24.32	-19.27	-55	-70	0.5066401958465576
25.21	-17.85	-50	-74	0.5041894912719727
26.44	-15.99	-46	-77	0.5016834735870361
27.38	-14.66	-41	-80	0.500434398651123
28.18	-13.02	-35	-82	0.5066442489624023
28.82	-11.0	-30	-84	0.503680944442749
29.28	-9.36	-25	-86	0.502655029296875
29.69	-7.88	-19	-87	0.5125997066497803
29.92	-5.85	-13	-88	0.516646146774292
30.06	-3.98	-8	-89	0.5056190490722656
30.19	-2.28	-2	-89	0.5086674690246582
30.19	-0.34	3	-89	0.5175871849060059
30.23	1.35	9	-89	0.5141141414642334
