0.23	-0.05	5	5	0.5046494007110596
-0.83	0.96	11	11	0.5036256313323975
-3.02	3.03	16	16	0.5017426013946533
-4.81	4.91	22	22	0.506671667098999
-7.17	6.91	28	28	0.5040323734283447
-9.4	9.0	33	33	0.5046496391296387
-11.18	10.72	38	38	0.502655029296875
-12.97	12.33	43	43	0.5059628486633301
-14.84	13.82	48	48	0.5046799182891846
-16.81	15.44	53	53	0.5056169033050537
-18.83	16.8	57	57	0.5036525726318359
-20.48	17.94	62	62	0.5066444873809814
-22.28	19.35	66	66	0.5031802654266357
-23.9	20.58	69	69	0.5026817321777344
-25.08	21.51	73	73	0.5036525726318359
-26.65	22.44	76	76	0.5026278495788574
-27.63	23.2	79	79	0.5056474208831787
-28.76	23.95	81	81	0.5066440105438232
-29.46	24.37	84	84	0.502655029296875
-30.48	24.89	85	85	0.5016586780548096
-30.75	25.12	87	87	0.5056464672088623
-31.5	25.48	88	88	0.5016574859619141
-31.75	25.62	89	89	0.5036802291870117
-31.98	25.8	89	89	0.5036520957946777
-32.06	25.82	89	89	0.5036523342132568
-32.08	25.83	89	89	0.5066483020782471
-32.08	25.85	89	89	0.5010714530944824
-32.09	25.86	88	88	0.5026857852935791
-32.09	25.88	86	86	0.5046191215515137
-32.1	25.91	85	85	0.5046772956848145
-32.1	25.93	83	83	0.5031285285949707
-32.04	25.91	80	80	0.5027470588684082
-31.86	25.69	78	78	0.5056478977203369
-31.5	25.34	75	75	0.5066452026367188
-30.75	24.8	71	71	0.5026259422302246
-29.5	23.89	68	68	0.5056469440460205
-28.19	23.12	64	64	0.50270676612854
-26.54	21.85	60	60	0.5026819705963135
-24.75	20.68	55	55	0.5037870407104492
-22.51	19.25	51	51	0.5022215843200684
-20.85	18.1	46	46	0.5056486129760742
-18.89	16.67	41	41	0.5026252269744873
-16.98	15.14	36	36	0.5066444873809814
-15.37	13.68	31	31	0.5000483989715576
-13.6	12.2	25	25	0.5066440105438232
-11.14	10.09	20	20	0.501685619354248
-9.12	8.2	14	14	0.5036547183990479
-6.67	6.13	9	9	0.5056509971618652
-4.91	4.39	3	3	0.5056407451629639
-2.77	2.26	-2	-2	0.5001256465911865
-0.94	0.52	-7	-7	0.5016577243804932
0.81	-1.16	-13	-13	0.5066442489624023
3.08	-3.22	-19	-19	0.5076694488525391
5.24	-5.23	-24	-24	0.5026276111602783
7.3	-7.13	-30	-30	0.5061647891998291
9.51	-9.08	-35	-35	0.5006332397460938
11.3	-10.65	-40	-40	0.5066442489624023
13.36	-12.15	-45	-45	0.5066442489624023
15.18	-13.63	-50	-50	0.5086691379547119
17.0	-15.09	-55	-55	0.5030078887939453
18.72	-16.41	-59	-59	0.501685380935669
20.2	-17.35	-63	-63	0.5076141357421875
21.69	-18.44	-67	-67	0.5036525726318359
23.22	-19.49	-71	-71	0.5066442489624023
24.59	-20.39	-74	-74	0.5016577243804932
25.76	-21.13	-77	-77	0.5026557445526123
26.89	-21.75	-80	-80	0.5006897449493408
27.98	-22.44	-82	-82	0.5016553401947021
28.8	-22.92	-84	-84	0.509070873260498
29.42	-23.39	-86	-86	0.5076708793640137
30.04	-23.79	-87	-87	0.5036237239837646
30.47	-24.03	-88	-88	0.5016579627990723
30.76	-24.21	-89	-89	0.5066738128662109
30.93	-24.38	-89	-89	0.5016520023345947
30.96	-24.41	-89	-89	0.5086426734924316
30.98	-24.43	-89	-89	0.5036535263061523
30.98	-24.45	-88	-88	0.5046510696411133
31.01	-24.45	-87	-87	0.5086114406585693
31.06	-24.42	-86	-86	0.5026552677154541
31.1	-24.41	-84	-84	0.5016851425170898
31.1	-24.33	-82	-82	0.5016577243804932
30.97	-24.11	-79	-79	0.506101131439209
30.63	-23.66	-76	-76	0.5016579627990723
30.32	-23.08	-73	-73	0.5046775341033936
29.71	-22.52	-70	-70	0.5056467056274414
28.68	-21.8	-66	-66	0.5056493282318115
27.3	-20.93	-62	-62	0.5026590824127197
25.58	-19.84	-58	-58	0.5026538372039795
24.01	-18.87	-54	-54	0.5006556510925293
22.31	-17.88	-49	-49	0.5016298294067383
20.23	-16.51	-44	-44	0.5056774616241455
18.26	-15.06	-39	-39	0.5056183338165283
16.45	-13.73	-34	-34	0.506702184677124
14.28	-12.23	-29	-29	0.5006325244903564
12.35	-10.58	-23	-23	0.5046501159667969
10.09	-8.59	-17	-17	0.50766921043396
7.62	-6.45	-12	-12	0.5016303062438965
5.86	-4.71	-6	-6	0.5016579627990723
3.41	-2.59	-1	-1	0.5006601810455322
1.49	-0.95	4	4	0.5006875991821289
